"","setting_beta","outcome","vax_scenario_short","intervention","dose_impact","pop_level_impact"
"32","IDN","hosp","no booster","oral antiviral","18 (15-23)","24 (20-29)"
"33","IDN","hosp","booster to high-risk","oral antiviral","20 (17-25)","21 (17-25)"
"34","IDN","hosp","booster to all","oral antiviral","19 (16-23)","22 (18-26)"
"35","IDN","hosp","catch-up campaign all adults","oral antiviral","19 (16-24)","21 (18-26)"
"36","IDN","hosp","catch-up campaign high-risk","oral antiviral","20 (17-25)","21 (18-25)"
"37","PNG","death","booster to high-risk","booster dose","2293 (1557-3225)","0 (0-0)"
"38","PNG","death","booster to all","booster dose","11808 (9184-15490)","0 (0-1)"
"39","PNG","death","catch-up campaign all adults","booster dose","9638 (7379-11734)","1 (0-1)"
"40","PNG","death","catch-up campaign high-risk","booster dose","1648 (1142-2121)","0 (0-0)"
"41","PNG","hosp","booster to high-risk","booster dose","98 (75-145)","0 (0-0)"
"42","PNG","hosp","booster to all","booster dose","99 (91-110)","1 (1-1)"
"43","PNG","hosp","catch-up campaign all adults","booster dose","87 (80-97)","1 (1-1)"
"44","PNG","hosp","catch-up campaign high-risk","booster dose","74 (56-103)","0 (0-0)"
"45","PNG","death","no booster","oral antiviral","159 (139-184)","49 (44-51)"
"46","PNG","death","booster to high-risk","oral antiviral","159 (139-184)","48 (44-51)"
"47","PNG","death","booster to all","oral antiviral","159 (139-184)","48 (44-51)"
"48","PNG","death","catch-up campaign all adults","oral antiviral","159 (139-184)","48 (44-51)"
"49","PNG","death","catch-up campaign high-risk","oral antiviral","159 (139-184)","48 (44-51)"
"50","PNG","hosp","no booster","oral antiviral","10 (9-13)","15 (12-17)"
"51","PNG","hosp","booster to high-risk","oral antiviral","10 (9-13)","15 (12-17)"
"52","PNG","hosp","booster to all","oral antiviral","10 (9-13)","15 (12-17)"
"53","PNG","hosp","catch-up campaign all adults","oral antiviral","10 (9-13)","15 (12-17)"
"54","PNG","hosp","catch-up campaign high-risk","oral antiviral","10 (9-13)","15 (12-17)"
"55","TLS","death","booster to high-risk","booster dose","1549 (1394-1827)","32 (31-33)"
"56","TLS","death","booster to all","booster dose","10768 (9621-12293)","32 (32-32)"
"57","TLS","death","catch-up campaign all adults","booster dose","4785 (4253-5565)","35 (34-35)"
"58","TLS","death","catch-up campaign high-risk","booster dose","815 (730-967)","32 (31-33)"
"59","TLS","hosp","booster to high-risk","booster dose","89 (83-98)","10 (10-10)"
"60","TLS","hosp","booster to all","booster dose","237 (222-256)","25 (25-26)"
"61","TLS","hosp","catch-up campaign all adults","booster dose","119 (111-130)","24 (23-25)"
"62","TLS","hosp","catch-up campaign high-risk","booster dose","49 (46-54)","9 (9-10)"
"63","TLS","death","no booster","oral antiviral","291 (254-339)","44 (40-48)"
"64","TLS","death","booster to high-risk","oral antiviral","394 (347-459)","30 (27-32)"
"65","TLS","death","booster to all","oral antiviral","325 (282-374)","31 (28-33)"
"66","TLS","death","catch-up campaign all adults","oral antiviral","367 (324-430)","30 (28-33)"
"67","TLS","death","catch-up campaign high-risk","oral antiviral","410 (358-479)","30 (27-32)"
"68","TLS","hosp","no booster","oral antiviral","18 (15-24)","12 (9-14)"
"69","TLS","hosp","booster to high-risk","oral antiviral","23 (19-30)","9 (7-10)"
"70","TLS","hosp","booster to all","oral antiviral","20 (16-26)","9 (7-10)"
"71","TLS","hosp","catch-up campaign all adults","oral antiviral","21 (18-28)","9 (7-10)"
"72","TLS","hosp","catch-up campaign high-risk","oral antiviral","23 (19-30)","9 (7-10)"
"73","FJI","death","booster to high-risk","total","NA (NA-NA)","80 (76-84)"
"74","FJI","death","booster to all","total","NA (NA-NA)","68 (64-71)"
"75","FJI","death","catch-up campaign all adults","total","NA (NA-NA)","74 (69-77)"
"76","FJI","death","catch-up campaign high-risk","total","NA (NA-NA)","80 (76-85)"
"77","FJI","hosp","booster to high-risk","total","NA (NA-NA)","31 (28-34)"
"78","FJI","hosp","booster to all","total","NA (NA-NA)","34 (30-37)"
"79","FJI","hosp","catch-up campaign all adults","total","NA (NA-NA)","38 (33-41)"
"80","FJI","hosp","catch-up campaign high-risk","total","NA (NA-NA)","30 (26-33)"
"81","IDN","death","booster to high-risk","total","NA (NA-NA)","64 (59-66)"
"82","IDN","death","booster to all","total","NA (NA-NA)","61 (57-64)"
"83","IDN","death","catch-up campaign all adults","total","NA (NA-NA)","64 (59-67)"
"84","IDN","death","catch-up campaign high-risk","total","NA (NA-NA)","63 (59-66)"
"85","IDN","hosp","booster to high-risk","total","NA (NA-NA)","29 (25-34)"
"86","IDN","hosp","booster to all","total","NA (NA-NA)","33 (29-38)"
"87","IDN","hosp","catch-up campaign all adults","total","NA (NA-NA)","37 (32-42)"
"88","IDN","hosp","catch-up campaign high-risk","total","NA (NA-NA)","29 (25-34)"
"89","PNG","death","booster to high-risk","total","NA (NA-NA)","49 (45-51)"
"90","PNG","death","booster to all","total","NA (NA-NA)","49 (45-52)"
"91","PNG","death","catch-up campaign all adults","total","NA (NA-NA)","49 (45-52)"
"92","PNG","death","catch-up campaign high-risk","total","NA (NA-NA)","49 (45-51)"
"93","PNG","hosp","booster to high-risk","total","NA (NA-NA)","15 (12-17)"
"94","PNG","hosp","booster to all","total","NA (NA-NA)","16 (13-18)"
"95","PNG","hosp","catch-up campaign all adults","total","NA (NA-NA)","16 (13-18)"
"96","PNG","hosp","catch-up campaign high-risk","total","NA (NA-NA)","15 (12-17)"
"97","TLS","death","booster to high-risk","total","NA (NA-NA)","62 (58-65)"
"98","TLS","death","booster to all","total","NA (NA-NA)","63 (60-66)"
"99","TLS","death","catch-up campaign all adults","total","NA (NA-NA)","65 (61-68)"
"100","TLS","death","catch-up campaign high-risk","total","NA (NA-NA)","62 (58-65)"
"101","TLS","hosp","booster to high-risk","total","NA (NA-NA)","19 (16-20)"
"102","TLS","hosp","booster to all","total","NA (NA-NA)","34 (32-36)"
"103","TLS","hosp","catch-up campaign all adults","total","NA (NA-NA)","33 (30-35)"
"104","TLS","hosp","catch-up campaign high-risk","total","NA (NA-NA)","18 (16-20)"
